Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,0.1u,C_0402_1005Metric,104.28,-165.8,0,top
C2,1m,C_0402_1005Metric,105.4,-171.35,180,top
C3,10uF,C_0402_1005Metric,105.13,-176.1,180,top
C4,3.3uF/16V,C_0805_2012Metric,104.65,-173.6,180,top
C5,100nF,C_0402_1005Metric,105.13,-175.1,180,top
C6,100nF,C_0402_1005Metric,118.9,-165.12,90,top
C7,10nF,C_0402_1005Metric,105.13,-177.1,180,top
C8,100nF,C_0402_1005Metric,105.13,-178.1,0,top
C9,10nF,C_0402_1005Metric,111.92,-165.85,0,top
R3,10k,R_0603_1608Metric,121.225,-165.6,0,top
U3,TCR2EF19,SOT-23-5,104.922,-168.6125,-90,top
